0.00  ,  616.00  ,  116.00  ,  45.00  ,  378.00  ,  146.00  ,  
0.00  ,  622.00  ,  134.00  ,  46.00  ,  370.00  ,  144.00  ,  
0.00  ,  645.00  ,  138.00  ,  42.00  ,  368.00  ,  146.00  ,  
0.00  ,  649.00  ,  164.00  ,  36.00  ,  365.00  ,  148.00  ,  
0.00  ,  664.00  ,  258.00  ,  37.00  ,  354.00  ,  146.00  ,  
0.00  ,  713.00  ,  372.00  ,  41.00  ,  348.00  ,  145.00  ,  
1.00  ,  761.00  ,  456.00  ,  47.00  ,  346.00  ,  144.00  ,  
3.00  ,  794.00  ,  524.00  ,  48.00  ,  335.00  ,  139.00  ,  
2.00  ,  812.00  ,  592.00  ,  45.00  ,  333.00  ,  134.00  ,  
1.00  ,  818.00  ,  649.00  ,  42.00  ,  333.00  ,  131.00  ,  
0.00  ,  809.00  ,  692.00  ,  43.00  ,  327.00  ,  133.00  ,  
0.00  ,  786.00  ,  744.00  ,  45.00  ,  325.00  ,  137.00  ,  
0.00  ,  776.00  ,  787.00  ,  46.00  ,  327.00  ,  138.00  ,  
0.00  ,  766.00  ,  806.00  ,  44.00  ,  322.00  ,  139.00  ,  
0.00  ,  765.00  ,  795.00  ,  45.00  ,  317.00  ,  138.00  ,  
0.00  ,  756.00  ,  774.00  ,  49.00  ,  314.00  ,  135.00  ,  
0.00  ,  740.00  ,  749.00  ,  54.00  ,  305.00  ,  130.00  ,  
0.00  ,  729.00  ,  709.00  ,  59.00  ,  299.00  ,  128.00  ,  
0.00  ,  712.00  ,  640.00  ,  60.00  ,  299.00  ,  129.00  ,  
0.00  ,  678.00  ,  566.00  ,  62.00  ,  293.00  ,  128.00  ,  
0.00  ,  643.00  ,  496.00  ,  64.00  ,  289.00  ,  127.00  ,  
0.00  ,  599.00  ,  436.00  ,  67.00  ,  291.00  ,  125.00  ,  
1.00  ,  585.00  ,  364.00  ,  70.00  ,  290.00  ,  126.00  ,  
2.00  ,  582.00  ,  267.00  ,  73.00  ,  285.00  ,  126.00  ,  
3.00  ,  589.00  ,  191.00  ,  77.00  ,  284.00  ,  129.00  ,  
2.00  ,  608.00  ,  108.00  ,  78.00  ,  288.00  ,  131.00  ,  
0.00  ,  625.00  ,  6.00  ,  77.00  ,  286.00  ,  132.00  ,  
0.00  ,  654.00  ,  0.00  ,  75.00  ,  285.00  ,  134.00  ,  
0.00  ,  673.00  ,  0.00  ,  71.00  ,  288.00  ,  135.00  ,  
0.00  ,  677.00  ,  146.00  ,  68.00  ,  290.00  ,  138.00  ,  
0.00  ,  667.00  ,  393.00  ,  65.00  ,  289.00  ,  138.00  ,  
0.00  ,  658.00  ,  615.00  ,  63.00  ,  288.00  ,  132.00  ,  
0.00  ,  654.00  ,  722.00  ,  61.00  ,  288.00  ,  131.00  ,  
0.00  ,  637.00  ,  706.00  ,  58.00  ,  285.00  ,  131.00  ,  
0.00  ,  612.00  ,  813.00  ,  57.00  ,  284.00  ,  133.00  ,  
0.00  ,  596.00  ,  873.00  ,  55.00  ,  285.00  ,  135.00  ,  
0.00  ,  573.00  ,  761.00  ,  53.00  ,  284.00  ,  138.00  ,  
0.00  ,  556.00  ,  755.00  ,  51.00  ,  285.00  ,  141.00  ,  
0.00  ,  533.00  ,  754.00  ,  48.00  ,  289.00  ,  142.00  ,  
0.00  ,  511.00  ,  734.00  ,  46.00  ,  288.00  ,  142.00  ,  
0.00  ,  485.00  ,  749.00  ,  45.00  ,  286.00  ,  143.00  ,  
0.00  ,  465.00  ,  694.00  ,  43.00  ,  286.00  ,  143.00  ,  
0.00  ,  470.00  ,  640.00  ,  43.00  ,  283.00  ,  143.00  ,  
0.00  ,  463.00  ,  632.00  ,  42.00  ,  278.00  ,  140.00  ,  
0.00  ,  459.00  ,  558.00  ,  38.00  ,  275.00  ,  138.00  ,  
0.00  ,  474.00  ,  460.00  ,  34.00  ,  274.00  ,  135.00  ,  
0.00  ,  474.00  ,  365.00  ,  31.00  ,  272.00  ,  134.00  ,  
0.00  ,  468.00  ,  316.00  ,  29.00  ,  270.00  ,  132.00  ,  
0.00  ,  428.00  ,  251.00  ,  28.00  ,  268.00  ,  131.00  ,  
0.00  ,  356.00  ,  148.00  ,  25.00  ,  265.00  ,  129.00  ,  
0.00  ,  224.00  ,  0.00  ,  23.00  ,  262.00  ,  129.00  ,  
0.00  ,  89.00  ,  0.00  ,  21.00  ,  258.00  ,  130.00  ,  
0.00  ,  0.00  ,  88.00  ,  20.00  ,  253.00  ,  130.00  ,  
0.00  ,  0.00  ,  211.00  ,  18.00  ,  250.00  ,  132.00  ,  
0.00  ,  0.00  ,  391.00  ,  15.00  ,  248.00  ,  132.00  ,  
0.00  ,  0.00  ,  488.00  ,  14.00  ,  245.00  ,  132.00  ,  
0.00  ,  0.00  ,  496.00  ,  13.00  ,  243.00  ,  130.00  ,  
0.00  ,  77.00  ,  549.00  ,  12.00  ,  242.00  ,  129.00  ,  
0.00  ,  181.00  ,  576.00  ,  8.00  ,  241.00  ,  128.00  ,  
0.00  ,  278.00  ,  536.00  ,  3.00  ,  241.00  ,  128.00  ,  
