0.00,97.00
0.00,80.00
0.00,60.00
0.00,44.00
65.00,57.00
65.00,40.00
43.00,39.00
45.00,27.00
63.00,29.00
82.00,10.00
94.00,7.00
90.00,15.00
86.00,21.00
90.00,31.00
98.00,47.00
114.00,52.00
132.00,62.00
139.00,68.00
176.00,58.00
189.00,59.00
219.00,54.00
253.00,52.00
285.00,41.00
314.00,30.00
338.00,25.00
358.00,8.00
363.00,0.00
370.00,0.00
431.00,3.00
407.00,72.00
388.00,32.00
382.00,22.00
327.00,3.00
278.00,42.00
224.00,37.00
163.00,9.00
95.00,0.00
74.00,0.00
48.00,0.00
23.00,0.00
16.00,0.00
3.00,0.00
0.00,0.00
0.00,0.00
0.00,76.00
0.00,243.00
23.00,244.00
246.00,298.00
3.00,250.00
0.00,189.00
92.00,138.00
211.00,73.00
194.00,55.00
153.00,39.00
139.00,43.00
188.00,68.00
257.00,114.00
275.00,165.00
248.00,212.00
241.00,229.00
253.00,241.00
276.00,228.00
314.00,205.00
327.00,180.00
332.00,150.00
335.00,138.00
323.00,132.00
322.00,136.00
307.00,141.00
293.00,145.00
275.00,150.00
256.00,153.00
245.00,150.00
230.00,143.00
208.00,130.00
176.00,129.00
153.00,97.00
131.00,105.00
111.00,85.00
94.00,76.00
86.00,80.00
82.00,75.00
73.00,81.00
64.00,102.00
54.00,105.00
51.00,122.00
54.00,121.00
48.00,120.00
48.00,119.00
54.00,112.00
0.00,103.00
0.00,91.00
0.00,80.00
0.00,65.00
29.00,24.00
53.00,0.00
35.00,0.00
42.00,0.00
48.00,0.00
52.00,0.00
49.00,7.00
62.00,25.00
57.00,22.00
74.00,29.00
70.00,41.00
94.00,48.00
100.00,65.00
137.00,65.00
164.00,49.00
201.00,51.00
241.00,42.00
288.00,39.00
334.00,41.00
371.00,43.00
402.00,44.00
450.00,46.00
517.00,35.00
580.00,30.00
543.00,34.00
539.00,37.00
541.00,37.00
458.00,45.00
343.00,45.00
265.00,43.00
185.00,37.00
96.00,25.00
23.00,13.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,37.00
0.00,33.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
4.00,0.00
38.00,48.00
257.00,82.00
87.00,4.00
97.00,26.00
103.00,22.00
51.00,62.00
73.00,105.00
75.00,110.00
60.00,128.00
53.00,136.00
0.00,132.00
467.00,116.00
621.00,103.00
489.00,84.00
562.00,77.00
458.00,67.00
379.00,69.00
508.00,61.00
540.00,58.00
572.00,45.00
586.00,26.00
563.00,37.00
540.00,34.00
545.00,36.00
545.00,49.00
520.00,63.00
480.00,13.00
447.00,60.00
420.00,30.00
421.00,33.00
424.00,26.00
402.00,11.00
382.00,6.00
357.00,14.00
343.00,23.00
336.00,20.00
337.00,15.00
325.00,13.00
63.00,61.00
78.00,63.00
92.00,57.00
104.00,52.00
120.00,52.00
132.00,47.00
144.00,38.00
154.00,34.00
157.00,31.00
157.00,30.00
155.00,24.00
153.00,55.00
144.00,25.00
134.00,10.00
114.00,0.00
96.00,14.00
80.00,76.00
83.00,37.00
56.00,46.00
25.00,62.00
0.00,0.00
107.00,0.00
143.00,0.00
102.00,0.00
95.00,0.00
92.00,0.00
129.00,6.00
159.00,65.00
180.00,131.00
168.00,165.00
152.00,199.00
154.00,190.00
154.00,156.00
167.00,147.00
186.00,142.00
183.00,163.00
178.00,154.00
185.00,126.00
200.00,75.00
211.00,46.00
212.00,61.00
198.00,103.00
174.00,150.00
161.00,171.00
157.00,187.00
147.00,179.00
129.00,166.00
125.00,151.00
110.00,142.00
88.00,132.00
66.00,125.00
60.00,112.00
52.00,107.00
37.00,99.00
20.00,93.00
10.00,85.00
10.00,85.00
0.00,86.00
0.00,82.00
0.00,83.00
0.00,83.00
0.00,81.00
0.00,77.00
0.00,80.00
0.00,52.00
0.00,56.00
0.00,49.00
0.00,70.00
0.00,68.00
0.00,89.00
0.00,55.00
0.00,41.00
0.00,40.00
0.00,58.00
0.00,78.00
0.00,88.00
0.00,89.00
0.00,77.00
0.00,66.00
0.00,62.00
0.00,61.00
0.00,63.00
0.00,58.00
0.00,64.00
0.00,71.00
0.00,79.00
0.00,83.00
0.00,91.00
0.00,87.00
0.00,84.00
