0.00  ,  53.00  ,  15.00  ,  29.00  ,  5.00  ,  84.00  ,  
0.00  ,  46.00  ,  12.00  ,  30.00  ,  6.00  ,  85.00  ,  
0.00  ,  43.00  ,  1.00  ,  30.00  ,  6.00  ,  84.00  ,  
0.00  ,  49.00  ,  0.00  ,  30.00  ,  5.00  ,  83.00  ,  
0.00  ,  56.00  ,  0.00  ,  29.00  ,  3.00  ,  83.00  ,  
0.00  ,  52.00  ,  0.00  ,  29.00  ,  5.00  ,  82.00  ,  
0.00  ,  45.00  ,  1.00  ,  28.00  ,  5.00  ,  81.00  ,  
0.00  ,  45.00  ,  2.00  ,  29.00  ,  4.00  ,  81.00  ,  
0.00  ,  55.00  ,  6.00  ,  30.00  ,  5.00  ,  81.00  ,  
0.00  ,  57.00  ,  7.00  ,  31.00  ,  5.00  ,  81.00  ,  
0.00  ,  56.00  ,  9.00  ,  31.00  ,  5.00  ,  81.00  ,  
0.00  ,  54.00  ,  12.00  ,  32.00  ,  5.00  ,  78.00  ,  
0.00  ,  60.00  ,  10.00  ,  32.00  ,  5.00  ,  80.00  ,  
0.00  ,  72.00  ,  12.00  ,  32.00  ,  6.00  ,  79.00  ,  
0.00  ,  69.00  ,  19.00  ,  33.00  ,  5.00  ,  79.00  ,  
0.00  ,  70.00  ,  22.00  ,  33.00  ,  6.00  ,  78.00  ,  
0.00  ,  68.00  ,  26.00  ,  34.00  ,  5.00  ,  78.00  ,  
0.00  ,  68.00  ,  28.00  ,  34.00  ,  5.00  ,  77.00  ,  
0.00  ,  65.00  ,  26.00  ,  33.00  ,  5.00  ,  76.00  ,  
0.00  ,  56.00  ,  21.00  ,  33.00  ,  4.00  ,  76.00  ,  
0.00  ,  46.00  ,  12.00  ,  33.00  ,  3.00  ,  75.00  ,  
0.00  ,  30.00  ,  4.00  ,  33.00  ,  3.00  ,  74.00  ,  
0.00  ,  24.00  ,  0.00  ,  33.00  ,  4.00  ,  73.00  ,  
0.00  ,  22.00  ,  0.00  ,  33.00  ,  4.00  ,  73.00  ,  
0.00  ,  17.00  ,  0.00  ,  32.00  ,  6.00  ,  73.00  ,  
0.00  ,  15.00  ,  0.00  ,  31.00  ,  6.00  ,  73.00  ,  
0.00  ,  21.00  ,  0.00  ,  31.00  ,  5.00  ,  72.00  ,  
0.00  ,  28.00  ,  0.00  ,  30.00  ,  6.00  ,  71.00  ,  
0.00  ,  39.00  ,  1.00  ,  29.00  ,  7.00  ,  71.00  ,  
0.00  ,  44.00  ,  4.00  ,  28.00  ,  7.00  ,  70.00  ,  
0.00  ,  52.00  ,  6.00  ,  29.00  ,  7.00  ,  70.00  ,  
0.00  ,  59.00  ,  9.00  ,  27.00  ,  7.00  ,  70.00  ,  
0.00  ,  55.00  ,  13.00  ,  28.00  ,  6.00  ,  69.00  ,  
0.00  ,  54.00  ,  14.00  ,  26.00  ,  6.00  ,  68.00  ,  
0.00  ,  57.00  ,  14.00  ,  24.00  ,  7.00  ,  68.00  ,  
0.00  ,  56.00  ,  15.00  ,  22.00  ,  8.00  ,  67.00  ,  
0.00  ,  52.00  ,  15.00  ,  21.00  ,  9.00  ,  67.00  ,  
0.00  ,  46.00  ,  15.00  ,  21.00  ,  8.00  ,  66.00  ,  
0.00  ,  41.00  ,  11.00  ,  20.00  ,  7.00  ,  65.00  ,  
0.00  ,  33.00  ,  6.00  ,  17.00  ,  7.00  ,  65.00  ,  
0.00  ,  27.00  ,  3.00  ,  17.00  ,  6.00  ,  64.00  ,  
0.00  ,  22.00  ,  0.00  ,  16.00  ,  7.00  ,  63.00  ,  
0.00  ,  21.00  ,  0.00  ,  14.00  ,  7.00  ,  63.00  ,  
0.00  ,  20.00  ,  0.00  ,  13.00  ,  7.00  ,  62.00  ,  
0.00  ,  20.00  ,  0.00  ,  13.00  ,  7.00  ,  61.00  ,  
0.00  ,  23.00  ,  0.00  ,  13.00  ,  8.00  ,  60.00  ,  
0.00  ,  26.00  ,  0.00  ,  12.00  ,  7.00  ,  60.00  ,  
0.00  ,  29.00  ,  3.00  ,  11.00  ,  6.00  ,  60.00  ,  
0.00  ,  31.00  ,  9.00  ,  11.00  ,  4.00  ,  59.00  ,  
0.00  ,  34.00  ,  12.00  ,  9.00  ,  3.00  ,  58.00  ,  
0.00  ,  37.00  ,  14.00  ,  8.00  ,  3.00  ,  58.00  ,  
0.00  ,  37.00  ,  15.00  ,  6.00  ,  4.00  ,  58.00  ,  
0.00  ,  44.00  ,  14.00  ,  5.00  ,  5.00  ,  58.00  ,  
0.00  ,  46.00  ,  13.00  ,  4.00  ,  5.00  ,  57.00  ,  
0.00  ,  48.00  ,  12.00  ,  4.00  ,  6.00  ,  57.00  ,  
0.00  ,  45.00  ,  10.00  ,  3.00  ,  5.00  ,  57.00  ,  
0.00  ,  37.00  ,  10.00  ,  2.00  ,  6.00  ,  57.00  ,  
0.00  ,  28.00  ,  7.00  ,  1.00  ,  5.00  ,  57.00  ,  
0.00  ,  21.00  ,  5.00  ,  0.00  ,  5.00  ,  57.00  ,  
0.00  ,  17.00  ,  4.00  ,  0.00  ,  4.00  ,  57.00  ,  
