 
0.00,38.00
7.00,16.00
0.00,153.00
0.00,134.00
6.00,110.00
194.00,104.00
228.00,37.00
240.00,36.00
184.00,0.00
254.00,0.00
294.00,0.00
215.00,0.00
257.00,36.00
214.00,63.00
201.00,38.00
218.00,10.00
242.00,36.00
265.00,89.00
298.00,127.00
308.00,134.00
402.00,138.00
418.00,121.00
459.00,128.00
509.00,111.00
534.00,95.00
561.00,72.00
532.00,60.00
508.00,40.00
493.00,36.00
434.00,24.00
402.00,9.00
371.00,6.00
308.00,0.00
440.00,0.00
466.00,89.00
462.00,33.00
557.00,43.00
576.00,0.00
494.00,0.00
398.00,0.00
345.00,0.00
256.00,0.00
219.00,0.00
163.00,18.00
57.00,163.00
32.00,240.00
51.00,239.00
0.00,212.00
11.00,64.00
54.00,16.00
178.00,38.00
0.00,0.00
0.00,34.00
302.00,69.00
408.00,117.00
383.00,73.00
302.00,82.00
216.00,83.00
317.00,80.00
343.00,136.00
347.00,83.00
322.00,67.00
305.00,69.00
308.00,48.00
342.00,4.00
404.00,0.00
439.00,0.00
453.00,3.00
467.00,0.00
494.00,0.00
529.00,37.00
521.00,100.00
491.00,120.00
420.00,75.00
383.00,32.00
348.00,4.00
296.00,0.00
263.00,8.00
258.00,29.00
219.00,39.00
179.00,60.00
153.00,67.00
136.00,92.00
123.00,97.00
116.00,102.00
109.00,101.00
95.00,101.00
79.00,92.00
80.00,92.00
71.00,90.00
 
0.00,111.00
29.00,115.00
62.00,135.00
92.00,146.00
13.00,83.00
140.00,82.00
220.00,92.00
212.00,83.00
168.00,76.00
175.00,93.00
159.00,103.00
162.00,101.00
187.00,90.00
166.00,100.00
112.00,121.00
147.00,130.00
175.00,163.00
247.00,160.00
270.00,147.00
303.00,147.00
354.00,149.00
387.00,142.00
441.00,134.00
475.00,119.00
530.00,107.00
573.00,97.00
542.00,89.00
472.00,79.00
604.00,67.00
610.00,54.00
789.00,35.00
789.00,32.00
725.00,19.00
687.00,10.00
552.00,0.00
461.00,0.00
344.00,0.00
174.00,0.00
98.00,0.00
5.00,26.00
0.00,95.00
0.00,68.00
0.00,60.00
0.00,22.00
0.00,45.00
0.00,33.00
0.00,0.00
0.00,0.00
0.00,15.00
0.00,105.00
0.00,169.00
0.00,194.00
17.00,173.00
36.00,182.00
59.00,155.00
70.00,148.00
81.00,138.00
83.00,146.00
84.00,156.00
97.00,155.00
98.00,190.00
94.00,182.00
79.00,198.00
69.00,191.00
70.00,191.00
68.00,192.00
67.00,188.00
68.00,191.00
69.00,190.00
136.00,180.00
93.00,174.00
51.00,167.00
39.00,176.00
47.00,175.00
59.00,180.00
56.00,178.00
55.00,178.00
75.00,176.00
73.00,202.00
64.00,167.00
49.00,161.00
67.00,134.00
87.00,136.00
103.00,147.00
108.00,108.00
110.00,108.00
116.00,110.00
115.00,136.00
129.00,99.00
136.00,80.00
 
0.00,103.00
0.00,158.00
121.00,207.00
274.00,161.00
212.00,152.00
99.00,193.00
95.00,155.00
346.00,139.00
344.00,109.00
291.00,133.00
261.00,137.00
259.00,164.00
206.00,156.00
263.00,150.00
246.00,154.00
268.00,143.00
254.00,170.00
287.00,172.00
298.00,181.00
370.00,185.00
405.00,171.00
455.00,157.00
487.00,154.00
550.00,126.00
566.00,127.00
606.00,108.00
601.00,107.00
565.00,103.00
523.00,91.00
487.00,84.00
493.00,71.00
686.00,59.00
758.00,42.00
676.00,35.00
694.00,31.00
664.00,29.00
529.00,22.00
381.00,13.00
267.00,5.00
142.00,0.00
107.00,10.00
60.00,25.00
25.00,0.00
12.00,0.00
1.00,0.00
0.00,0.00
0.00,0.00
0.00,7.00
0.00,12.00
0.00,32.00
0.00,44.00
0.00,7.00
10.00,0.00
40.00,0.00
69.00,0.00
91.00,0.00
113.00,33.00
130.00,38.00
136.00,45.00
134.00,46.00
136.00,59.00
132.00,66.00
134.00,76.00
125.00,123.00
120.00,61.00
110.00,18.00
101.00,0.00
88.00,0.00
80.00,10.00
94.00,16.00
75.00,47.00
84.00,58.00
123.00,51.00
126.00,49.00
151.00,27.00
133.00,46.00
109.00,51.00
94.00,46.00
105.00,72.00
110.00,70.00
98.00,66.00
81.00,48.00
71.00,22.00
41.00,0.00
0.00,0.00
943.00,0.00
1023.00,21.00
573.00,23.00
697.00,29.00
686.00,20.00
 
0.00,0.00
0.00,7.00
0.00,0.00
163.00,15.00
370.00,0.00
244.00,14.00
0.00,119.00
6.00,16.00
315.00,11.00
441.00,0.00
488.00,54.00
412.00,90.00
305.00,84.00
436.00,61.00
497.00,57.00
352.00,84.00
389.00,127.00
384.00,143.00
380.00,112.00
467.00,115.00
464.00,145.00
498.00,177.00
555.00,250.00
566.00,168.00
551.00,164.00
595.00,113.00
641.00,127.00
615.00,119.00
612.00,104.00
634.00,95.00
559.00,83.00
639.00,68.00
632.00,56.00
561.00,41.00
582.00,34.00
