Sample index : 0  , SEN.0  ,  SEN.01  ,  SEN.02  ,  SEN.03  ,  SEN.04  ,  SEN.05 
Sample index : 0  ,  4.00  ,  16.00  ,  34.00  ,  11.00  ,  7.00  ,  1.00  
Sample index : 1  ,  3.00  ,  17.00  ,  35.00  ,  11.00  ,  7.00  ,  1.00  
Sample index : 2  ,  1.00  ,  17.00  ,  39.00  ,  10.00  ,  6.00  ,  0.00  
Sample index : 3  ,  4.00  ,  16.00  ,  42.00  ,  10.00  ,  5.00  ,  1.00  
Sample index : 4  ,  3.00  ,  16.00  ,  43.00  ,  10.00  ,  4.00  ,  1.00  
Sample index : 5  ,  2.00  ,  16.00  ,  47.00  ,  9.00  ,  2.00  ,  0.00  
Sample index : 6  ,  2.00  ,  17.00  ,  47.00  ,  8.00  ,  1.00  ,  1.00  
Sample index : 7  ,  1.00  ,  17.00  ,  39.00  ,  7.00  ,  1.00  ,  0.00  
Sample index : 8  ,  1.00  ,  17.00  ,  35.00  ,  6.00  ,  0.00  ,  0.00  
Sample index : 9  ,  1.00  ,  16.00  ,  35.00  ,  6.00  ,  0.00  ,  0.00  
Sample index : 10  ,  0.00  ,  16.00  ,  33.00  ,  5.00  ,  0.00  ,  0.00  
Sample index : 11  ,  0.00  ,  15.00  ,  33.00  ,  3.00  ,  0.00  ,  0.00  
Sample index : 12  ,  0.00  ,  14.00  ,  34.00  ,  2.00  ,  1.00  ,  0.00  
Sample index : 13  ,  2.00  ,  13.00  ,  34.00  ,  1.00  ,  2.00  ,  0.00  
Sample index : 14  ,  2.00  ,  12.00  ,  35.00  ,  1.00  ,  3.00  ,  0.00  
Sample index : 15  ,  0.00  ,  12.00  ,  31.00  ,  0.00  ,  5.00  ,  0.00  
Sample index : 16  ,  0.00  ,  13.00  ,  28.00  ,  0.00  ,  6.00  ,  0.00  
Sample index : 17  ,  0.00  ,  13.00  ,  29.00  ,  0.00  ,  7.00  ,  0.00  
Sample index : 18  ,  0.00  ,  13.00  ,  29.00  ,  0.00  ,  8.00  ,  0.00  
Sample index : 19  ,  0.00  ,  15.00  ,  30.00  ,  0.00  ,  8.00  ,  0.00  
Sample index : 20  ,  0.00  ,  15.00  ,  32.00  ,  0.00  ,  8.00  ,  0.00  
Sample index : 21  ,  0.00  ,  16.00  ,  33.00  ,  0.00  ,  8.00  ,  0.00  
Sample index : 22  ,  0.00  ,  16.00  ,  32.00  ,  0.00  ,  8.00  ,  0.00  
Sample index : 23  ,  0.00  ,  16.00  ,  32.00  ,  0.00  ,  7.00  ,  0.00  
Sample index : 24  ,  1.00  ,  16.00  ,  32.00  ,  0.00  ,  6.00  ,  0.00  
Sample index : 25  ,  0.00  ,  15.00  ,  32.00  ,  0.00  ,  5.00  ,  0.00  
