
Sample index : 0  | SEN.0  |  SEN.01  |  SEN.02  |  SEN.03  |  SEN.04  |  SEN.05 |
 Sample index : 4  |  94.00  |  84.00  |  85.00  |  61.00  |  69.00  |  0.00  |  
 Sample index : 5  |  94.00  |  85.00  |  80.00  |  60.00  |  68.00  |  0.00  |  
 Sample index : 6  |  94.00  |  82.00  |  80.00  |  61.00  |  67.00  |  0.00  |  
 Sample index : 7  |  93.00  |  83.00  |  77.00  |  60.00  |  68.00  |  0.00  |  
 Sample index : 8  |  93.00  |  82.00  |  70.00  |  59.00  |  66.00  |  0.00  |  
 Sample index : 9  |  93.00  |  80.00  |  71.00  |  59.00  |  65.00  |  0.00  |  
 Sample index : 10  |  92.00  |  80.00  |  72.00  |  59.00  |  65.00  |  0.00  |  
 Sample index : 11  |  93.00  |  81.00  |  68.00  |  59.00  |  65.00  |  0.00  |  
 Sample index : 12  |  92.00  |  79.00  |  71.00  |  57.00  |  63.00  |  0.00  |  
 Sample index : 13  |  88.00  |  78.00  |  76.00  |  58.00  |  66.00  |  0.00  |  
 Sample index : 14  |  88.00  |  79.00  |  75.00  |  60.00  |  65.00  |  0.00  |  
 Sample index : 15  |  90.00  |  77.00  |  72.00  |  57.00  |  63.00  |  0.00  |  
 Sample index : 16  |  88.00  |  77.00  |  76.00  |  56.00  |  64.00  |  0.00  |  
 Sample index : 17  |  89.00  |  77.00  |  74.00  |  57.00  |  64.00  |  0.00  |  
 Sample index : 18  |  91.00  |  73.00  |  70.00  |  57.00  |  62.00  |  0.00  |  
 Sample index : 19  |  89.00  |  77.00  |  70.00  |  58.00  |  63.00  |  0.00  |  
 Sample index : 20  |  86.00  |  76.00  |  69.00  |  56.00  |  65.00  |  0.00  |  
 Sample index : 21  |  87.00  |  72.00  |  72.00  |  55.00  |  62.00  |  0.00  |  
 Sample index : 22  |  87.00  |  74.00  |  70.00  |  55.00  |  62.00  |  0.00  |  
 Sample index : 23  |  84.00  |  74.00  |  67.00  |  55.00  |  64.00  |  0.00  |  
