106.00,0.00
88.00,0.00
138.00,0.00
162.00,22.00
156.00,0.00
176.00,0.00
156.00,0.00
118.00,22.00
11.00,118.00
0.00,260.00
0.00,382.00
12.00,423.00
0.00,442.00
0.00,411.00
0.00,429.00
0.00,473.00
0.00,478.00
0.00,508.00
0.00,567.00
0.00,536.00
0.00,499.00
0.00,446.00
0.00,415.00
0.00,400.00
0.00,353.00
0.00,345.00
0.00,320.00
0.00,308.00
0.00,288.00
8.00,292.00
39.00,290.00
55.00,286.00
63.00,281.00
73.00,290.00
76.00,292.00
78.00,312.00
85.00,279.00
90.00,307.00
92.00,312.00
106.00,317.00
125.00,304.00
127.00,293.00
133.00,306.00
128.00,296.00
122.00,291.00
120.00,294.00
113.00,282.00
122.00,279.00
128.00,277.00
224.00,298.00
57.00,401.00
38.00,256.00
265.00,153.00
346.00,258.00
315.00,306.00
252.00,183.00
222.00,234.00
263.00,193.00
354.00,28.00
366.00,0.00
326.00,54.00
274.00,72.00
273.00,103.00
334.00,0.00
358.00,0.00
337.00,123.00
302.00,274.00
292.00,369.00
316.00,193.00
330.00,49.00
317.00,49.00
284.00,136.00
256.00,195.00
241.00,160.00
231.00,109.00
222.00,89.00
203.00,96.00
176.00,144.00
138.00,192.00
118.00,183.00
109.00,171.00
83.00,170.00
56.00,174.00
27.00,199.00
18.00,216.00
0.00,178.00
0.00,143.00
0.00,104.00
0.00,98.00
0.00,138.00
